?,T(?)
603,0.7709545
604,0.7714752
605,0.7720606
606,0.772585
607,0.7728873
608,0.7739837
609,0.774087
610,0.7755151
611,0.7757852
612,0.7766355
613,0.7771665
614,0.7776759
615,0.7779333
616,0.7791244
617,0.7793284
618,0.7796813
619,0.7803002
620,0.7807478
621,0.7816959
622,0.7817338
623,0.7827024
624,0.7827724
625,0.7836971
626,0.7842659
627,0.7851107
628,0.7853217
629,0.785546
630,0.7864047
631,0.786549
632,0.7869062
633,0.787542
634,0.7875871
635,0.7880806
636,0.7886575
637,0.7887488
638,0.789308
639,0.7894781
640,0.7900837
641,0.7906496
642,0.7907366
643,0.7916966
644,0.7919337
645,0.7920397
646,0.7929247
647,0.7930592
648,0.7939954
649,0.794138
650,0.7942275
651,0.794861
652,0.7950729
653,0.7950866
654,0.7954363
655,0.7958732
656,0.7964149
657,0.7964516
658,0.7970306
659,0.7971035
660,0.7977066
661,0.798165
662,0.7984628
663,0.7984902
664,0.7990403
665,0.799541
666,0.7997947
667,0.7999162
668,0.7999907
669,0.800583
670,0.800668
671,0.8010182
672,0.8012321
673,0.8017462
674,0.801854
675,0.8018899
676,0.8022057
677,0.8024577
678,0.8028261
679,0.8030104
680,0.8035336
681,0.8041667
682,0.8042376
683,0.8043151
684,0.8047615
685,0.8047648
686,0.8051397
687,0.8052706
688,0.8056044
689,0.8057043
690,0.8059641
691,0.8059858
692,0.8062773
693,0.8063652
694,0.8070901
695,0.8071261
696,0.8071973
697,0.8073007
698,0.8073587
699,0.807568
700,0.8076823
701,0.8077349
702,0.8079974
703,0.808158
704,0.8082674
705,0.8085538
706,0.8086606
707,0.8088672
708,0.8090228
709,0.809082
710,0.8094343
711,0.8094448
712,0.8099593
713,0.8101045
714,0.8102978
715,0.8103362
716,0.8103904
717,0.8106181
718,0.8106263
719,0.8107932
720,0.811088
721,0.8113872
722,0.8113986
723,0.8114761
724,0.8116336
725,0.8116455
726,0.8117822
727,0.8118562
728,0.8119426
729,0.8121532
730,0.8124416
731,0.8125085
732,0.8126028
733,0.8127267
734,0.812829
735,0.8130966
736,0.8131583
737,0.8132419
738,0.8134485
739,0.8134521
740,0.813475
741,0.8135078
742,0.8135566
743,0.8135778
744,0.8139033
745,0.8139262
746,0.8141731
747,0.8144189
748,0.8145532
749,0.8145911
750,0.8146412
751,0.8146655
752,0.8147396
753,0.8149461
754,0.8150144
755,0.8150421
756,0.8150855
757,0.8151105
758,0.8152582
759,0.8152892
760,0.8154447
761,0.8155524
762,0.815662
763,0.8157748
764,0.8158582
765,0.815872
766,0.8159181
767,0.8159453
768,0.816032
769,0.8160461
770,0.816159
771,0.8163091
772,0.8163463
773,0.8164576
774,0.8164941
775,0.8165038
776,0.8165278
777,0.8165557
778,0.8167734
779,0.8169043
780,0.8169066
781,0.8169211
782,0.8170786
783,0.8170895
784,0.8171661
785,0.8172606
786,0.8172607
787,0.8173257
788,0.8173351
789,0.8173473
790,0.8173782
791,0.8174351
792,0.8175321
793,0.8176947
794,0.8178793
795,0.8178794
796,0.8179609
797,0.8181671
798,0.818262
799,0.8183385
800,0.8184122
